"date","time","sample_type","sample_no","scan","location","gross_wt_orig","tare_wt","dry_wt_orig","net_wt_orig","fm_orig","gross_wt_cor","dry_wt_cor","net_wt_cor","fm_cor","obs_initials_and_notes","qaqc_initials","qaqc_notes","cor_type","correction_notes"
"2021-02-19T00:00:00Z",1014,"SRO",8,"od",9,487.63,457.28,30.35,30.35,0,487.63,30.35,30.35,0,"TD","JT",NA,0,""
"2021-02-19T00:00:00Z",1025,"SRO",9,"od",9,491.16,456.59,34.71,34.5700000000001,-0.403341976375645,491.16,34.71,34.5700000000001,-0.403341976375645,"TD","JT",NA,0,""
"2021-02-19T00:00:00Z",1025,"SRO",10,"od",9,495.32,464.97,30.23,30.35,0.396956665564025,495.32,30.23,30.35,0.396956665564025,"TD","JT",NA,0,""
"2021-02-19T00:00:00Z",1025,"SRO",11,"od",9,493.05,461.12,31.78,31.93,0.471994965387144,493.05,31.78,31.93,0.471994965387144,"TD","JT",NA,0,""
"2021-02-19T00:00:00Z",1025,"SRO",12,"od",9,492.31,459.03,33.0700000000001,33.28,0.635016631387902,492.31,33.0700000000001,33.28,0.635016631387902,"TD","JT",NA,0,""
"2021-02-19T00:00:00Z",1036,"SRO",13,"od",9,493.14,461.55,31.32,31.59,0.862068965517183,493.14,31.32,31.59,0.862068965517183,"TD","JT",NA,0,""
"2021-02-19T00:00:00Z",1036,"SRO",14,"od",9,494.25,461.66,31.32,32.59,4.05491698595141,494.25,32.24,32.59,1.08560794044672,"TD","JT",NA,0,""
"2021-02-19T00:00:00Z",1036,"SRO",15,"od",9,495.65,462.28,33.05,33.37,0.9682299546142,495.65,33.05,33.37,0.9682299546142,"TD","JT",NA,0,""
"2021-02-19T00:00:00Z",1036,"SRO",16,"od",9,493.77,459.62,33.84,34.15,0.916075650118211,493.77,33.84,34.15,0.916075650118211,"TD","JT",NA,0,""
"2021-02-19T00:00:00Z",1014,"SRO",1,"od",12,497.5,468.33,29.17,29.17,0,497.5,29.17,29.17,0,"TD","JT",NA,0,""
"2021-02-19T00:00:00Z",1014,"SRO",2,"od",12,489.6,462.23,27.37,27.37,0,489.6,27.37,27.37,0,"TD","JT",NA,0,""
"2021-02-19T00:00:00Z",1014,"SRO",3,"od",12,492.2,462.87,29.33,29.33,0,492.2,29.33,29.33,0,"TD","JT",NA,0,""
"2021-02-19T00:00:00Z",1014,"SRO",4,"od",12,493.6,460.11,33.49,33.49,0,493.6,33.49,33.49,0,"TD","JT",NA,0,""
"2021-02-19T00:00:00Z",1025,"SRO",5,"od",12,491.9,460.75,30.99,31.15,0.516295579219,491.9,30.99,31.15,0.516295579219,"TD","JT",NA,0,""
"2021-02-19T00:00:00Z",1025,"SRO",6,"od",12,491.1,461.68,29.09,29.42,1.13441045032671,491.1,29.09,29.42,1.13441045032671,"TD","JT",NA,0,""
"2021-02-19T00:00:00Z",1025,"SRO",7,"od",12,488.2,459.81,28.12,28.39,0.960170697012737,488.2,28.12,28.39,0.960170697012737,"TD","JT",NA,0,""
"2021-02-19T00:00:00Z",1025,"SRO",8,"od",12,487.9,457.28,30.35,30.62,0.889621087314602,487.9,30.35,30.62,0.889621087314602,"TD","JT",NA,0,""
"2021-02-19T00:00:00Z",1036,"SRO",9,"od",12,491.4,456.59,34.71,34.81,0.288101411696819,491.4,34.71,34.81,0.288101411696819,"TD","JT",NA,0,""
"2021-02-19T00:00:00Z",1036,"SRO",10,"od",12,495.6,464.97,30.23,30.63,1.32318888521348,495.6,30.23,30.63,1.32318888521348,"TD","JT",NA,0,""
"2021-02-19T00:00:00Z",1036,"SRO",11,"od",12,493.2,461.12,31.78,32.08,0.943989930774108,493.2,31.78,32.08,0.943989930774108,"TD","JT",NA,0,""
"2021-02-19T00:00:00Z",1036,"SRO",12,"od",12,492.6,459.03,33.0700000000001,33.5700000000001,1.51194436044753,492.6,33.0700000000001,33.5700000000001,1.51194436044753,"TD","JT",NA,0,""
"2021-02-19T00:00:00Z",1044,"SRO",13,"od",12,493.4,461.55,31.32,31.85,1.69220945083005,493.4,31.32,31.85,1.69220945083005,"TD","JT",NA,0,""
"2021-02-19T00:00:00Z",1044,"SRO",14,"od",12,494.4,461.66,31.32,32.74,4.53384418901647,494.4,32.24,32.74,1.55086848635236,"TD","JT",NA,0,""
"2021-02-19T00:00:00Z",1044,"SRO",15,"od",12,495.8,462.28,33.05,33.52,1.42208774583972,495.8,33.05,33.52,1.42208774583972,"TD","JT",NA,0,""
"2021-02-19T00:00:00Z",1044,"SRO",16,"od",12,494,459.62,33.84,34.38,1.59574468085113,494,33.84,34.38,1.59574468085113,"TD","JT",NA,0,""
"2021-02-18T00:00:00Z",959,"LLP",17,"0.0",3,796.69,479.33,122.97,317.36,158.079206310482,796.69,122.97,317.36,158.079206310482,"NT","NT",NA,0,""
"2021-02-18T00:00:00Z",959,"LLP",18,"0.0",3,783.88,478.42,117.28,305.46,160.453615279673,783.88,117.28,305.46,160.453615279673,"NT","NT",NA,0,""
"2021-02-18T00:00:00Z",959,"LLP",19,"0.0",3,749.44,478.51,101.59,270.93,166.689634806575,749.44,101.59,270.93,166.689634806575,"NT","NT",NA,0,""
"2021-02-18T00:00:00Z",959,"LLP",20,"0.0",3,751.73,478.8,104.5,272.93,161.177033492823,751.73,104.5,272.93,161.177033492823,"NT","NT",NA,0,""
"2021-02-18T00:00:00Z",1009,"LLP",21,"0.0",3,793.43,475.88,121.42,317.55,161.530225662988,793.43,121.42,317.55,161.530225662988,"NT","NT",NA,0,""
"2021-02-18T00:00:00Z",1009,"LLP",22,"0.0",3,662.46,475.47,70.1799999999999,186.99,166.443431176974,662.46,70.1799999999999,186.99,166.443431176974,"NT","NT",NA,0,""
"2021-02-18T00:00:00Z",1009,"LLP",23,"0.0",3,715.9,477,91.8,238.9,160.239651416122,715.9,91.8,238.9,160.239651416122,"NT","NT",NA,0,""
"2021-02-18T00:00:00Z",1009,"LLP",24,"0.0",3,702.02,477.69,85.51,224.33,162.34358554555,702.02,85.51,224.33,162.34358554555,"NT","NT",NA,0,""
"2021-02-18T00:00:00Z",1020,"LLP",25,"0.0",3,768.88,476.2,115.8,292.68,152.746113989637,768.88,115.8,292.68,152.746113989637,"NT","NT",NA,0,""
"2021-02-18T00:00:00Z",1020,"LLP",26,"0.0",3,708.13,480.2,88.4,227.93,157.839366515837,708.13,88.4,227.93,157.839366515837,"NT","NT",NA,0,""
"2021-02-18T00:00:00Z",1020,"LLP",27,"0.0",3,701.4,476.19,91.41,225.21,146.373482113554,701.4,91.41,225.21,146.373482113554,"NT","NT",NA,0,""
"2021-02-18T00:00:00Z",1020,"LLP",28,"0.0",3,723.24,476.74,99.0599999999999,246.5,148.839087421765,723.24,99.0599999999999,246.5,148.839087421765,"NT","NT",NA,0,""
"2021-02-18T00:00:00Z",948,"LLP",29,"0.0",3,756.45,476.34,110.87,280.11,152.64724452061,756.45,110.87,280.11,152.64724452061,"NT","NT",NA,0,""
"2021-02-18T00:00:00Z",948,"LLP",30,"0.0",3,767.4,476.08,100.71,291.32,189.266209909642,767.4,100.71,291.32,189.266209909642,"NT","NT",NA,0,""
"2021-02-18T00:00:00Z",948,"LLP",31,"0.0",3,764.2,477.13,107.35,287.07,167.414997671169,764.2,107.35,287.07,167.414997671169,"NT","NT",NA,0,""
"2021-02-18T00:00:00Z",948,"LLP",32,"0.0",3,707.2,479.73,82.66,227.47,175.187515122187,707.2,82.66,227.47,175.187515122187,"NT","NT",NA,0,""
"2021-02-18T00:00:00Z",1009,"LLP",17,"0.0",6,793.3,479.33,122.97,313.97,155.322436366594,793.3,122.97,313.97,155.322436366594,"JB","NT",NA,0,""
"2021-02-18T00:00:00Z",1009,"LLP",18,"0.0",6,781.7,478.42,117.28,303.28,158.594815825375,781.7,117.28,303.28,158.594815825375,"JB","NT",NA,0,""
"2021-02-18T00:00:00Z",1009,"LLP",19,"0.0",6,742.2,478.51,101.59,263.69,159.562949109164,742.2,101.59,263.69,159.562949109164,"JB","NT",NA,0,""
"2021-02-18T00:00:00Z",1009,"LLP",20,"0.0",6,748.2,478.8,104.5,269.4,157.799043062201,748.2,104.5,269.4,157.799043062201,"JB","NT",NA,0,""
"2021-02-18T00:00:00Z",1020,"LLP",21,"0.0",6,790.6,475.88,121.42,314.72,159.19947290397,790.6,121.42,314.72,159.19947290397,"JB","NT",NA,0,""
"2021-02-18T00:00:00Z",1020,"LLP",22,"0.0",6,659.4,475.47,70.1799999999999,183.93,162.083214591052,659.4,70.1799999999999,183.93,162.083214591052,"JB","NT",NA,0,""
"2021-02-18T00:00:00Z",1020,"LLP",23,"0.0",6,712.2,477,91.8,235.2,156.209150326798,712.2,91.8,235.2,156.209150326798,"JB","NT",NA,0,""
"2021-02-18T00:00:00Z",1020,"LLP",24,"0.0",6,698.1,477.69,85.51,220.41,157.759326394574,698.1,85.51,220.41,157.759326394574,"JB","NT",NA,0,""
"2021-02-18T00:00:00Z",948,"LLP",25,"0.0",6,781.5,476.2,115.8,305.3,163.644214162349,781.5,115.8,305.3,163.644214162349,"JB","NT",NA,0,""
"2021-02-18T00:00:00Z",948,"LLP",26,"0.0",6,715.7,480.2,88.4,235.5,166.402714932127,715.7,88.4,235.5,166.402714932127,"JB","NT",NA,0,""
"2021-02-18T00:00:00Z",948,"LLP",27,"0.0",6,707.7,476.19,91.41,231.51,153.265507056121,707.7,91.41,231.51,153.265507056121,"JB","NT",NA,0,""
"2021-02-18T00:00:00Z",948,"LLP",28,"0.0",6,732.5,476.74,99.0599999999999,255.76,158.186957399556,732.5,99.0599999999999,255.76,158.186957399556,"JB","NT",NA,0,""
"2021-02-18T00:00:00Z",959,"LLP",29,"0.0",6,752.9,476.34,110.87,276.56,149.445296292956,752.9,110.87,276.56,149.445296292956,"JB","NT",NA,0,""
"2021-02-18T00:00:00Z",959,"LLP",30,"0.0",6,757.8,476.08,100.71,281.72,179.733889385364,757.8,100.71,281.72,179.733889385364,"JB","NT",NA,0,""
"2021-02-18T00:00:00Z",959,"LLP",31,"0.0",6,761.5,477.13,107.35,284.37,164.899860270144,761.5,107.35,284.37,164.899860270144,"JB","NT",NA,0,""
"2021-02-18T00:00:00Z",959,"LLP",32,"0.0",6,702.5,479.73,82.66,222.77,169.501572707476,702.5,82.66,222.77,169.501572707476,"JB","NT",NA,0,""
"2021-02-18T00:00:00Z",1020,"LLP",17,"0.0",9,786.84,479.33,122.97,307.51,150.069122550216,786.84,122.97,307.51,150.069122550216,"JT","NT",NA,0,""
"2021-02-18T00:00:00Z",1020,"LLP",18,"0.0",9,775.23,478.42,117.28,296.81,153.078103683492,775.23,117.28,296.81,153.078103683492,"JT","NT",NA,0,""
"2021-02-18T00:00:00Z",1020,"LLP",19,"0.0",9,740.45,478.51,101.59,261.94,157.840338616005,740.45,101.59,261.94,157.840338616005,"JT","NT",NA,0,""
"2021-02-18T00:00:00Z",1020,"LLP",20,"0.0",9,742.72,478.8,104.5,263.92,152.555023923445,742.72,104.5,263.92,152.555023923445,"JT","NT",NA,0,""
"2021-02-18T00:00:00Z",948,"LLP",21,"0.0",9,797.83,475.88,121.42,321.95,165.154010871356,797.83,121.42,321.95,165.154010871356,"JT","NT",NA,0,""
"2021-02-18T00:00:00Z",948,"LLP",22,"0.0",9,665.91,475.47,70.1799999999999,190.44,171.359361641493,665.91,70.1799999999999,190.44,171.359361641493,"JT","NT",NA,0,""
"2021-02-18T00:00:00Z",948,"LLP",23,"0.0",9,720.53,477,91.8,243.53,165.283224400872,720.53,91.8,243.53,165.283224400872,"JT","NT",NA,0,""
"2021-02-18T00:00:00Z",948,"LLP",24,"0.0",9,707.16,477.69,85.51,229.47,168.354578411881,707.16,85.51,229.47,168.354578411881,"JT","NT",NA,0,""
"2021-02-18T00:00:00Z",959,"LLP",25,"0.0",9,773.66,476.2,115.8,297.46,156.873920552677,773.66,115.8,297.46,156.873920552677,"JT","NT",NA,0,""
"2021-02-18T00:00:00Z",959,"LLP",26,"0.0",9,711.79,480.2,88.4,231.59,161.97963800905,711.79,88.4,231.59,161.97963800905,"JT","NT",NA,0,""
"2021-02-18T00:00:00Z",959,"LLP",27,"0.0",9,704.62,476.19,91.41,228.43,149.896072639755,704.62,91.41,228.43,149.896072639755,"JT","NT",NA,0,""
"2021-02-18T00:00:00Z",959,"LLP",28,"0.0",9,727.65,476.74,99.0599999999999,250.91,153.290934786998,727.65,99.0599999999999,250.91,153.290934786998,"JT","NT",NA,0,""
"2021-02-18T00:00:00Z",1009,"LLP",29,"0.0",9,746.85,476.34,110.87,270.51,143.988454947235,746.85,110.87,270.51,143.988454947235,"JT","NT",NA,0,""
"2021-02-18T00:00:00Z",1009,"LLP",30,"0.0",9,744.04,476.08,100.71,267.96,166.070896633899,744.04,100.71,267.96,166.070896633899,"JT","NT",NA,0,""
"2021-02-18T00:00:00Z",1009,"LLP",31,"0.0",9,755.01,477.13,107.35,277.88,158.854215183978,755.01,107.35,277.88,158.854215183978,"JT","NT",NA,0,""
"2021-02-18T00:00:00Z",1009,"LLP",32,"0.0",9,697.91,479.73,82.66,218.18,163.948705540769,697.91,82.66,218.18,163.948705540769,"JT","NT",NA,0,""
"2021-02-18T00:00:00Z",948,"LLP",17,"0.0",12,800.6,479.33,122.97,321.27,161.258843620395,800.6,122.97,321.27,161.258843620395,"JT","NT",NA,0,""
"2021-02-18T00:00:00Z",948,"LLP",18,"0.0",12,785.5,478.42,117.28,307.08,161.834924965894,785.5,117.28,307.08,161.834924965894,"JT","NT",NA,0,""
"2021-02-18T00:00:00Z",948,"LLP",19,"0.0",12,754.1,478.51,101.59,275.59,171.276700462644,754.1,101.59,275.59,171.276700462644,"JT","NT",NA,0,""
"2021-02-18T00:00:00Z",948,"LLP",20,"0.0",12,755.5,478.8,104.5,276.7,164.784688995215,755.5,104.5,276.7,164.784688995215,"JT","NT",NA,0,""
"2021-02-18T00:00:00Z",959,"LLP",21,"0.0",12,795.8,475.88,121.42,319.92,163.482128150222,795.8,121.42,319.92,163.482128150222,"JT","NT",NA,0,""
"2021-02-18T00:00:00Z",959,"LLP",22,"0.0",12,664.3,475.47,70.1799999999999,188.83,169.065260758051,664.3,70.1799999999999,188.83,169.065260758051,"JT","NT",NA,0,""
"2021-02-18T00:00:00Z",959,"LLP",23,"0.0",12,718.4,477,91.8,241.4,162.962962962963,718.4,91.8,241.4,162.962962962963,"JT","NT",NA,0,""
"2021-02-18T00:00:00Z",959,"LLP",24,"0.0",12,704.7,477.69,85.51,227.01,165.477721903871,704.7,85.51,227.01,165.477721903871,"JT","NT",NA,0,""
"2021-02-18T00:00:00Z",1009,"LLP",25,"0.0",12,771.2,476.2,115.8,295,154.749568221071,771.2,115.8,295,154.749568221071,"JT","NT",NA,0,""
