date,time,sample type,Sample,scan,location,gross weight,observor initials/notes,QAQC initials,notes
2021-02-03T00:00:00Z,1245,CC,8,2.0,12,687.6,JT,NT,NA
2021-02-03T00:00:00Z,1331,CC,9,2.0,3,641.37,NT,NT,NA
2021-02-03T00:00:00Z,1223,CC,9,2.0,6,648.7,JB,NT,NA
2021-02-03T00:00:00Z,1245,CC,9,2.0,9,646.1,DN,NT,NA
2021-02-03T00:00:00Z,1308,CC,9,2.0,12,643.7,JT,NT,NA
2021-02-03T00:00:00Z,1331,CC,10,2.0,3,652.67,NT,NT,NA
2021-02-03T00:00:00Z,1223,CC,10,2.0,6,695.5,JB,NT,apparent error on orginal datasheet
2021-02-03T00:00:00Z,1245,CC,10,2.0,9,657.32,DN,NT,NA
2021-02-03T00:00:00Z,1308,CC,10,2.0,12,654.9,JT,NT,NA
2021-02-03T00:00:00Z,1331,CC,11,2.0,3,679.45,NT,NT,NA
2021-02-03T00:00:00Z,1223,CC,11,2.0,6,686.9,JB,NT,NA
2021-02-03T00:00:00Z,1245,CC,11,2.0,9,684.77,DN,NT,NA
2021-02-03T00:00:00Z,1308,CC,11,2.0,12,681.9,JT,NT,NA
2021-02-03T00:00:00Z,1331,CC,12,2.0,3,690.94,NT,NT,NA
2021-02-03T00:00:00Z,1223,CC,12,2.0,6,698.9,JB,NT,NA
2021-02-03T00:00:00Z,1245,CC,12,2.0,9,696.52,DN,NT,NA
2021-02-03T00:00:00Z,1308,CC,12,2.0,12,693.7,JT,NT,NA
2021-02-03T00:00:00Z,1223,CC,13,2.0,3,713.91,NT,NT,NA
2021-02-03T00:00:00Z,1245,CC,13,2.0,6,711.1,JB,NT,NA
2021-02-03T00:00:00Z,1308,CC,13,2.0,9,707.96,DN,NT,NA
2021-02-03T00:00:00Z,1331,CC,13,2.0,12,705.6,JT,NT,NA
2021-02-03T00:00:00Z,1223,CC,14,2.0,3,713.33,NT,NT,NA
2021-02-03T00:00:00Z,1245,CC,14,2.0,6,710.6,JB,NT,NA
2021-02-03T00:00:00Z,1308,CC,14,2.0,9,708.02,DN,NT,NA
2021-02-03T00:00:00Z,1331,CC,14,2.0,12,705.5,JT,NT,NA
2021-02-03T00:00:00Z,1223,CC,15,2.0,3,704.37,NT,NT,NA
2021-02-03T00:00:00Z,1245,CC,15,2.0,6,700.9,JB,NT,NA
2021-02-03T00:00:00Z,1308,CC,15,2.0,9,698.3,DN,NT,NA
2021-02-03T00:00:00Z,1331,CC,15,2.0,12,695.3,JT,NT,NA
2021-02-03T00:00:00Z,1223,CC,16,2.0,3,707.63,NT,NT,NA
2021-02-03T00:00:00Z,1245,CC,16,2.0,6,704.2,JB,NT,NA
2021-02-03T00:00:00Z,1308,CC,16,2.0,9,701.5,DN,NT,NA
2021-02-03T00:00:00Z,1331,CC,16,2.0,12,698.8,JT,NT,NA
2021-02-03T00:00:00Z,1438,CC,1,4.0,3,683.76,NT,NT,NA
2021-02-03T00:00:00Z,1459,CC,1,4.0,6,681.2,JB,NT,NA
2021-02-03T00:00:00Z,1519,CC,1,4.0,9,679.17,DN,NT,NA
2021-02-03T00:00:00Z,1418,CC,1,4.0,12,685.7,JT,NT,NA
2021-02-03T00:00:00Z,1438,CC,2,4.0,3,715.55,NT,NT,NA
2021-02-03T00:00:00Z,1459,CC,2,4.0,6,713.1,JB,NT,NA
2021-02-03T00:00:00Z,1519,CC,2,4.0,9,711.3,DN,NT,NA
2021-02-03T00:00:00Z,1418,CC,2,4.0,12,717.6,JT,NT,NA
2021-02-03T00:00:00Z,1438,CC,3,4.0,3,716.46,NT,NT,NA
2021-02-03T00:00:00Z,1459,CC,3,4.0,6,713.8,JB,NT,NA
2021-02-03T00:00:00Z,1519,CC,3,4.0,9,712.04,DN,NT,NA
2021-02-03T00:00:00Z,1418,CC,3,4.0,12,718.8,JT,NT,NA
2021-02-03T00:00:00Z,1438,CC,4,4.0,3,697,NT,NT,NA
2021-02-03T00:00:00Z,1459,CC,4,4.0,6,693.9,JB,NT,NA
2021-02-03T00:00:00Z,1519,CC,4,4.0,9,692.05,DN,NT,NA
2021-02-03T00:00:00Z,1418,CC,4,4.0,12,699.4,JT,NT,NA
2021-02-03T00:00:00Z,1503,CC,5,4.0,3,666.3,NT,NT,NA
2021-02-03T00:00:00Z,1519,CC,5,4.0,6,663.4,JB,NT,NA
2021-02-03T00:00:00Z,1418,CC,5,4.0,9,670.37,DN,NT,NA
2021-02-03T00:00:00Z,1438,CC,5,4.0,12,668.4,JT,NT,NA
2021-02-03T00:00:00Z,1503,CC,6,4.0,3,651.64,NT,NT,NA
2021-02-03T00:00:00Z,1519,CC,6,4.0,6,649.2,JB,NT,NA
2021-02-03T00:00:00Z,1418,CC,6,4.0,9,655.55,DN,NT,NA
2021-02-03T00:00:00Z,1438,CC,6,4.0,12,653.7,JT,NT,NA
2021-02-03T00:00:00Z,1503,CC,7,4.0,3,689.34,NT,NT,NA
2021-02-03T00:00:00Z,1519,CC,7,4.0,6,683.7,JB,NT,NA
2021-02-03T00:00:00Z,1418,CC,7,4.0,9,690.6,DN,NT,NA
2021-02-03T00:00:00Z,1438,CC,7,4.0,12,688.8,JT,NT,NA
2021-02-03T00:00:00Z,1503,CC,8,4.0,3,670.56,NT,NT,NA
2021-02-03T00:00:00Z,1519,CC,8,4.0,6,667.6,JB,NT,NA
2021-02-03T00:00:00Z,1418,CC,8,4.0,9,675.19,DN,NT,NA
2021-02-03T00:00:00Z,1438,CC,8,4.0,12,673,JT,NT,NA
2021-02-03T00:00:00Z,1519,CC,9,4.0,3,629.03,NT,NT,NA
2021-02-03T00:00:00Z,1418,CC,9,4.0,6,635,JB,NT,NA
2021-02-03T00:00:00Z,1438,CC,9,4.0,9,633.11,DN,NT,NA
2021-02-03T00:00:00Z,1459,CC,9,4.0,12,631.1,JT,NT,NA
2021-02-03T00:00:00Z,1519,CC,10,4.0,3,640.95,NT,NT,NA
2021-02-03T00:00:00Z,1418,CC,10,4.0,6,646.5,JB,NT,NA
2021-02-03T00:00:00Z,1438,CC,10,4.0,9,644.75,DN,NT,NA
2021-02-03T00:00:00Z,1459,CC,10,4.0,12,642.8,JT,NT,NA
2021-02-03T00:00:00Z,1519,CC,11,4.0,3,666.75,NT,NT,NA
2021-02-03T00:00:00Z,1418,CC,11,4.0,6,672.9,JB,NT,NA
2021-02-03T00:00:00Z,1438,CC,11,4.0,9,671.19,DN,NT,NA
2021-02-03T00:00:00Z,1459,CC,11,4.0,12,669.1,JT,NT,NA
2021-02-03T00:00:00Z,1519,CC,12,4.0,3,677,NT,NT,NA
2021-02-03T00:00:00Z,1418,CC,12,4.0,6,683.5,JB,NT,NA
2021-02-03T00:00:00Z,1438,CC,12,4.0,9,681.61,DN,NT,NA
2021-02-03T00:00:00Z,1459,CC,12,4.0,12,679.2,JT,NT,NA
2021-02-03T00:00:00Z,1419,CC,13,4.0,3,699.46,NT,NT,NA
2021-02-03T00:00:00Z,1438,CC,13,4.0,6,697.1,JB,NT,NA
